ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
17	"ENSMUSG00000031232.17"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105971435	105971479	17	286,723,215	14,49,15	455,657,607	25,26,44	200	100	0.485338250138	0.915499470707	0.911,0.881,0.878	0.901,0.927,0.873	-0.01
18	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65589004	65589604	65589004	65589137	65589450	65589604	18	10,15,9	1,1,1	10,12,29	0,0,2	200	100	0.066173604761	0.336599192391	0.833,0.882,0.818	1.0,1.0,0.879	-0.115
19	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145126092	145127890	145126092	145126225	145127830	145127890	19	2,4,2	9,12,4	6,9,11	11,3,8	200	100	0.00563554843283	0.0949219900176	0.1,0.143,0.2	0.214,0.6,0.407	-0.259
20	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145145875	145148616	145145875	145145953	145148530	145148616	20	0,3,3	0,2,2	2,7,16	0,0,2	200	100	1	1.0	NA,0.429,0.429	1.0,1.0,0.8	-0.504
22	"ENSMUSG00000029772.17"	"Ahcyl2"	chr6	+	29906507	29906759	29906507	29906576	29906680	29906759	22	2,1,0	30,104,31	1,4,1	65,82,100	200	100	1	1.0	0.032,0.005,0.0	0.008,0.024,0.005	0.0
23	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915729	26915954	26916006	23	18,46,14	69,160,52	19,26,47	95,153,114	200	100	0.69258383066	1.0	0.115,0.126,0.119	0.091,0.078,0.171	0.007
24	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915749	26915954	26916006	24	13,32,11	17,6,4	11,17,36	1,5,10	200	100	0.183971743734	0.584349174281	0.277,0.727,0.579	0.846,0.63,0.643	-0.179
25	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915769	26915954	26916006	25	13,24,6	8,20,7	9,13,29	9,13,10	200	100	0.60322002088	0.997023845756	0.448,0.375,0.3	0.333,0.333,0.592	-0.045
26	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26916006	26915595	26915784	26915954	26916006	26	10,23,5	0,0,0	8,11,23	0,0,2	200	100	1	1.0	1.0,1.0,1.0	1.0,1.0,0.852	0.049
27	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35728057	35730994	35728057	35728128	35729110	35730994	27	138,376,96	25,68,10	306,363,320	31,51,55	200	100	0.348620217503	0.805212911795	0.734,0.734,0.828	0.832,0.781,0.744	-0.02
28	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35728057	35730992	35728057	35728128	35730423	35730992	28	176,493,132	0,0,0	345,443,458	0,1,0	200	100	1	1.0	1.0,1.0,1.0	1.0,0.996,1.0	0.001
31	"ENSMUSG00000034744.13"	"Nagk"	chr6	+	83796906	83797275	83796906	83796991	83797176	83797275	31	0,11,4	31,71,26	4,9,21	37,48,49	200	100	0.0169104651432	0.166323747243	0.0,0.072,0.071	0.051,0.086,0.176	-0.057
32	"ENSMUSG00000002833.11"	"Hdgfl2"	chr17	+	56096204	56097163	56096204	56096276	56097087	56097163	32	29,32,25	0,0,0	25,50,71	1,0,2	200	100	0.340349561561	0.792090570695	1.0,1.0,1.0	0.926,1.0,0.947	0.042
33	"ENSMUSG00000002833.11"	"Hdgfl2"	chr17	+	56098483	56099075	56098483	56098557	56098973	56099075	33	6,22,4	0,2,0	14,11,34	1,0,1	200	100	1	1.0	1.0,0.846,1.0	0.875,1.0,0.944	0.009
34	"ENSMUSG00000002833.11"	"Hdgfl2"	chr17	+	56098973	56099387	56098973	56099075	56099176	56099387	34	11,28,16	290,748,247	14,32,49	498,612,726	200	100	0.350292823824	0.80678630349	0.019,0.018,0.031	0.014,0.025,0.033	-0.001
35	"ENSMUSG00000020372.15"	"Rack1"	chr11	+	48801662	48802420	48801662	48801834	48802272	48802420	35	354,972,327	8618,25682,8299	596,766,906	15226,21364,19990	200	100	0.899282178546	1.0	0.02,0.019,0.019	0.019,0.018,0.022	-0.0
38	"ENSMUSG00000053553.11"	"3110082I17Rik"	chr5	-	139359738	139361388	139359738	139360730	139361306	139361388	38	3,8,8	68,210,61	15,4,4	134,172,173	200	100	0.804829069827	1.0	0.022,0.019,0.062	0.053,0.011,0.011	0.009
39	"ENSMUSG00000003779.16"	"Kif20a"	chr18	+	34628384	34628579	34628384	34628422	34628504	34628579	39	666,2057,614	0,2,0	1282,1696,1773	0,0,0	181	100	1	1.0	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
40	"ENSMUSG00000003779.16"	"Kif20a"	chr18	+	34628674	34628953	34628674	34628786	34628884	34628953	40	26,71,16	374,1254,347	43,63,86	750,934,1034	197	100	0.160933967902	0.541043127977	0.034,0.028,0.023	0.028,0.033,0.041	-0.006
41	"ENSMUSG00000024947.17"	"Men1"	chr19	+	6335038	6335905	6335038	6335082	6335444	6335905	41	25,55,16	12,17,5	29,70,76	11,18,10	200	100	0.181198838491	0.578829622957	0.51,0.618,0.615	0.569,0.66,0.792	-0.093
42	"ENSMUSG00000024947.17"	"Men1"	chr19	+	6338282	6338961	6338282	6338419	6338825	6338961	42	4,12,1	179,539,156	19,14,33	335,424,406	200	100	2.95384236508e-05	0.00621107689669	0.011,0.011,0.003	0.028,0.016,0.039	-0.019
44	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8743079	8743423	8743079	8743135	8743352	8743423	44	12,19,5	131,322,95	14,20,36	180,259,252	200	100	0.0468789537313	0.288985786865	0.044,0.029,0.026	0.037,0.037,0.067	-0.014
45	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8748654	8748888	8748654	8748711	8748806	8748888	45	21,40,17	93,277,89	36,51,84	193,227,275	194	100	0.0372858345201	0.262863225777	0.104,0.069,0.09	0.088,0.104,0.136	-0.022
46	"ENSMUSG00000024220.14"	"Zfp523"	chr17	+	28201260	28202348	28201260	28201440	28202100	28202348	46	4,5,4	1,4,0	13,17,28	1,2,1	200	100	0.132918188219	0.487123250231	0.667,0.385,1.0	0.867,0.81,0.933	-0.186
47	"ENSMUSG00000024220.14"	"Zfp523"	chr17	+	28201260	28202348	28201260	28201440	28202114	28202348	47	10,19,10	57,109,49	16,24,35	62,104,127	200	100	0.110597709014	0.440778665418	0.081,0.08,0.093	0.114,0.103,0.121	-0.028
48	"ENSMUSG00000018433.14"	"Nol11"	chr11	-	107180041	107181101	107180041	107180118	107180912	107181101	48	0,7,4	211,664,221	8,5,20	473,525,588	200	100	0.8042132047	1.0	0.0,0.005,0.009	0.008,0.005,0.017	-0.005
50	"ENSMUSG00000020918.14"	"Kat2a"	chr11	-	100705958	100706493	100705958	100705995	100706349	100706493	50	9,10,5	0,2,2	7,12,36	0,3,0	200	100	0.369372143042	0.824605699845	1.0,0.714,0.556	1.0,0.667,1.0	-0.132
51	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76593937	76594447	76593937	76594051	76594152	76594447	51	6,18,8	36,81,14	12,13,25	35,65,81	200	100	0.648407892044	1.0	0.077,0.1,0.222	0.146,0.091,0.134	0.009
52	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76593937	76594447	76593937	76594051	76594363	76594447	52	9,14,15	0,0,1	14,19,38	0,1,0	200	100	1	1.0	1.0,1.0,0.882	1.0,0.905,1.0	-0.008
53	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594152	76594447	76594152	76594284	76594363	76594447	53	9,14,17	44,99,39	17,20,48	75,90,98	178	100	0.151847104889	0.523150924385	0.103,0.074,0.197	0.113,0.111,0.216	-0.022
54	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594528	76594752	76594528	76594610	76594673	76594752	54	14,37,12	28,85,30	22,26,45	60,62,69	162	100	0.678648699506	1.0	0.236,0.212,0.198	0.185,0.206,0.287	-0.011
55	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76595013	76595453	76595013	76595266	76595336	76595453	55	5,20,4	31,102,46	13,22,26	47,107,79	169	100	0.0371956328812	0.262863225777	0.087,0.104,0.049	0.141,0.108,0.163	-0.057
56	"ENSMUSG00000060950.12"	"Trmt61a"	chr12	+	111678104	111678962	111678104	111678161	111678602	111678962	56	47,139,40	13,16,1	79,101,87	9,0,0	200	100	0.0013843131089	0.0445774339073	0.644,0.813,0.952	0.814,1.0,1.0	-0.135
57	"ENSMUSG00000060950.12"	"Trmt61a"	chr12	+	111678104	111678962	111678104	111678300	111678602	111678962	57	91,249,78	3,3,0	139,186,173	0,4,6	200	100	0.377152027655	0.829684704637	0.938,0.976,1.0	1.0,0.959,0.935	0.007
58	"ENSMUSG00000019518.11"	"Ap4m1"	chr5	+	138172348	138172893	138172348	138172437	138172786	138172893	58	11,32,9	58,164,55	15,22,72	88,132,110	200	100	0.0542966155551	0.306485300768	0.087,0.089,0.076	0.079,0.077,0.247	-0.05
59	"ENSMUSG00000019518.11"	"Ap4m1"	chr5	+	138172348	138172893	138172348	138172479	138172786	138172893	59	10,25,5	1,3,0	10,14,54	2,1,1	200	100	0.645953758342	1.0	0.833,0.806,1.0	0.714,0.875,0.964	0.029
60	"ENSMUSG00000019518.11"	"Ap4m1"	chr5	+	138176051	138176263	138176051	138176118	138176209	138176263	60	9,14,11	63,176,58	12,21,38	117,162,159	190	100	0.130386812591	0.482220066527	0.07,0.04,0.091	0.051,0.064,0.112	-0.009
61	"ENSMUSG00000019518.11"	"Ap4m1"	chr5	+	138177922	138178180	138177922	138177973	138178068	138178180	61	51,90,40	31,81,22	79,94,113	42,52,62	194	100	0.157613315523	0.534730831403	0.459,0.364,0.484	0.492,0.482,0.484	-0.05
62	"ENSMUSG00000062175.13"	"Tgif2"	chr2	+	156853128	156855570	156853128	156853228	156853345	156855570	62	272,965,300	51,181,60	440,547,781	121,161,181	200	100	0.00573875989312	0.0961746946912	0.727,0.727,0.714	0.645,0.629,0.683	0.07
64	"ENSMUSG00000066150.12"	"Slc31a1"	chr4	+	62387866	62391769	62387866	62388035	62388597	62391769	64	3,3,1	107,339,104	10,17,12	222,287,253	200	100	0.00046134794766	0.0248160549266	0.014,0.004,0.005	0.022,0.029,0.023	-0.017
65	"ENSMUSG00000004947.15"	"Dtx2"	chr5	+	136026469	136028572	136026469	136026607	136028498	136028572	65	4,2,0	10,22,10	6,6,10	18,22,25	200	100	0.018564837892	0.172474537899	0.167,0.043,0.0	0.143,0.12,0.167	-0.073
66	"ENSMUSG00000004947.15"	"Dtx2"	chr5	+	136026469	136028572	136026469	136026607	136028501	136028572	66	9,9,1	1,0,0	10,16,20	0,0,1	200	100	1	1.0	0.818,1.0,1.0	1.0,1.0,0.909	-0.03
67	"ENSMUSG00000029670.12"	"Ing3"	chr6	+	21969277	21970107	21969277	21969435	21969913	21970107	67	1,4,1	48,130,37	3,1,14	87,136,119	200	100	0.0658832536383	0.336599192391	0.01,0.015,0.013	0.017,0.004,0.056	-0.013
68	"ENSMUSG00000035772.11"	"Mrps2"	chr2	+	28468242	28468950	28468242	28468359	28468820	28468950	68	5,13,3	87,242,68	12,15,23	137,175,208	200	100	0.017701077007	0.170605455088	0.028,0.026,0.022	0.042,0.041,0.052	-0.02
69	"ENSMUSG00000024835.15"	"Coro1b"	chr19	+	4149341	4149985	4149341	4149544	4149862	4149985	69	14,33,16	136,319,98	14,22,27	195,276,279	200	100	0.135021693932	0.492128250561	0.049,0.049,0.075	0.035,0.038,0.046	0.018
70	"ENSMUSG00000024835.15"	"Coro1b"	chr19	+	4150089	4150621	4150089	4150219	4150439	4150621	70	15,36,8	221,684,190	21,22,48	347,479,525	200	100	0.240319061022	0.662961678038	0.033,0.026,0.021	0.029,0.022,0.044	-0.005
71	"ENSMUSG00000024908.15"	"Ppp6r3"	chr19	-	3483527	3487091	3483527	3484916	3486975	3487091	71	16,49,17	316,881,268	22,38,53	583,798,773	200	100	0.751240534033	1.0	0.025,0.027,0.031	0.019,0.023,0.033	0.003
73	"ENSMUSG00000005980.15"	"Dnase1"	chr16	+	4037953	4038270	4037953	4038042	4038186	4038270	73	14,30,15	0,0,0	35,36,48	0,2,0	200	100	1	1.0	1.0,1.0,1.0	1.0,0.9,1.0	0.033
75	"ENSMUSG00000032359.14"	"Ctsh"	chr9	+	90067026	90068473	90067026	90067108	90068404	90068473	75	1,1,0	12,29,10	0,2,2	15,17,24	200	100	0.441312675993	0.887682614256	0.04,0.017,0.0	0.0,0.056,0.04	-0.013
76	"ENSMUSG00000024026.13"	"Glo1"	chr17	-	30592860	30594226	30592860	30593074	30594114	30594226	76	523,1470,1037	30,86,72	930,1380,1922	47,88,96	200	100	0.353161916962	0.808925132602	0.897,0.895,0.878	0.908,0.887,0.909	-0.011
77	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724460	20724820	20724460	20724563	20724710	20724820	77	11,13,9	26,88,22	10,11,46	58,73,97	200	100	0.680418345483	1.0	0.175,0.069,0.17	0.079,0.07,0.192	0.024
78	"ENSMUSG00000039308.6"	"Ndst2"	chr14	-	20724460	20724820	20724460	20724563	20724747	20724820	78	29,52,19	4,7,3	33,57,72	4,10,11	200	100	0.712342725852	1.0	0.784,0.788,0.76	0.805,0.74,0.766	0.007
79	"ENSMUSG00000034024.8"	"Cct2"	chr10	-	117061297	117061581	117061297	117061410	117061504	117061581	79	106,289,106	1601,4860,1521	177,228,284	3057,4232,3899	193	100	0.698038269931	1.0	0.033,0.03,0.035	0.029,0.027,0.036	0.002
80	"ENSMUSG00000034024.8"	"Cct2"	chr10	-	117062975	117063375	117062975	117063050	117063159	117063375	80	32,99,41	9,31,8	58,79,104	12,17,19	200	100	0.205834047359	0.615656096809	0.64,0.615,0.719	0.707,0.699,0.732	-0.055
83	"ENSMUSG00000029060.17"	"Mib2"	chr4	-	155655521	155656305	155655521	155655700	155656071	155656305	83	2,12,9	31,59,22	12,6,35	26,65,64	200	100	0.110631438939	0.440778665418	0.031,0.092,0.17	0.188,0.044,0.215	-0.051
84	"ENSMUSG00000029060.17"	"Mib2"	chr4	-	155656912	155657314	155656912	155657069	155657165	155657314	84	9,13,7	21,102,33	12,14,20	64,79,77	195	100	0.687836219807	1.0	0.18,0.061,0.098	0.088,0.083,0.118	0.017
85	"ENSMUSG00000029060.17"	"Mib2"	chr4	-	155658893	155659265	155658893	155659001	155659122	155659265	85	5,12,9	14,29,12	17,23,43	20,22,26	200	100	0.00252621106034	0.0614957217973	0.152,0.171,0.273	0.298,0.343,0.453	-0.166
88	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4865136	4866529	4865136	4866268	4866448	4866529	88	1,4,0	4,15,4	1,4,2	9,15,10	200	100	0.863168471008	1.0	0.111,0.118,0.0	0.053,0.118,0.091	-0.011
89	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4869534	4870623	4869534	4869658	4870498	4870623	89	0,2,0	7,18,6	2,2,5	10,12,11	200	100	0.00281543489727	0.0643114752219	0.0,0.053,0.0	0.091,0.077,0.185	-0.1
90	"ENSMUSG00000037336.14"	"Mfsd2b"	chr12	-	4869534	4870623	4869534	4869672	4870498	4870623	90	0,2,0	0,0,0	2,1,6	1,0,0	200	100	1	1.0	NA,1.0,NA	0.5,1.0,1.0	0.167
92	"ENSMUSG00000052133.16"	"Sema5b"	chr16	+	35645382	35646405	35645382	35645445	35646191	35646405	92	5,8,3	0,0,0	4,3,16	0,1,0	200	100	1	1.0	1.0,1.0,1.0	1.0,0.6,1.0	0.133
93	"ENSMUSG00000052133.16"	"Sema5b"	chr16	+	35659922	35660383	35659922	35660070	35660157	35660383	93	1,1,0	16,30,13	5,1,3	21,24,33	186	100	0.014234303106	0.155643937241	0.033,0.018,0.0	0.113,0.022,0.047	-0.044
95	"ENSMUSG00000068860.5"	"Gm128"	chr3	-	95239949	95241598	95239949	95240111	95240594	95241598	95	1,8,3	0,2,0	4,2,6	0,0,1	200	100	1	1.0	1.0,0.667,1.0	1.0,1.0,0.75	-0.028
96	"ENSMUSG00000002825.8"	"Qtrt1"	chr9	+	21412232	21412531	21412232	21412301	21412370	21412531	96	1,10,2	0,1,0	8,15,13	0,0,0	168	100	1	1.0	1.0,0.856,1.0	1.0,1.0,1.0	-0.048
97	"ENSMUSG00000002825.8"	"Qtrt1"	chr9	+	21412232	21412531	21412232	21412301	21412392	21412531	97	2,13,2	71,235,57	12,17,16	121,149,148	190	100	0.00191940111566	0.0539911976921	0.015,0.028,0.018	0.05,0.057,0.054	-0.033
98	"ENSMUSG00000002825.8"	"Qtrt1"	chr9	+	21419438	21419712	21419438	21419548	21419624	21419712	98	24,73,23	141,479,122	41,73,98	238,337,330	175	100	0.0195376184744	0.176102588141	0.089,0.08,0.097	0.09,0.11,0.145	-0.026
99	"ENSMUSG00000032177.17"	"Pde4a"	chr9	+	21191326	21192431	21191326	21191518	21192394	21192431	99	2,2,0	1,7,2	0,0,0	8,5,3	200	100	0.194097163682	0.600527655162	0.5,0.125,0.0	0.0,0.0,0.0	0.208
100	"ENSMUSG00000034485.10"	"Uaca"	chr9	+	60869574	60872283	60869574	60870030	60870540	60872283	100	130,398,141	1,2,1	260,350,355	2,1,2	200	100	1	1.0	0.985,0.99,0.986	0.985,0.994,0.989	-0.002
102	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103174339	103177419	103174339	103174501	103175618	103177419	102	5,26,9	406,1264,435	7,16,29	742,901,943	200	100	0.776637026666	1.0	0.006,0.01,0.01	0.005,0.009,0.015	-0.001
103	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103174339	103177419	103174339	103174501	103177338	103177419	103	16,52,19	9,21,3	36,41,62	15,22,32	200	100	0.351779243128	0.808402391106	0.471,0.553,0.76	0.545,0.482,0.492	0.088
104	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103175618	103177419	103175618	103175669	103177338	103177419	104	19,78,30	451,1325,411	45,51,60	755,975,1020	200	100	0.961605985415	1.0	0.021,0.029,0.035	0.029,0.025,0.029	0.001
105	"ENSMUSG00000042918.17"	"Mamstr"	chr7	+	45642747	45643324	45642747	45642929	45643236	45643324	105	2,1,0	0,0,0	4,2,8	2,0,0	200	100	1	1.0	1.0,1.0,NA	0.5,1.0,1.0	0.167
106	"ENSMUSG00000031482.9"	"Slc25a15"	chr8	-	22380837	22383344	22380837	22381007	22383206	22383344	106	0,1,1	40,141,25	1,1,2	74,101,103	200	100	1	1.0	0.0,0.004,0.02	0.007,0.005,0.01	0.001
107	"ENSMUSG00000079109.11"	"Pms2"	chr5	+	143928098	143929042	143928098	143928266	143928941	143929042	107	5,6,6	59,196,65	4,8,18	136,138,132	200	100	0.256835793009	0.693593486356	0.041,0.015,0.044	0.014,0.028,0.064	-0.002
108	"ENSMUSG00000004626.14"	"Stxbp2"	chr8	+	3633847	3634123	3633847	3633926	3634019	3634123	108	4,2,1	56,177,56	3,2,8	92,149,154	192	100	0.443240900494	0.888346396122	0.036,0.006,0.009	0.017,0.007,0.026	0.0
110	"ENSMUSG00000098488.7"	"Pla2g4b"	chr2	+	120034919	120035324	120034919	120035056	120035195	120035324	110	2,2,3	5,25,4	2,11,9	8,16,34	200	100	0.119350639707	0.455938583531	0.167,0.038,0.273	0.111,0.256,0.117	-0.002
111	"ENSMUSG00000098488.7"	"Pla2g4b"	chr2	+	120036746	120037095	120036746	120036830	120037057	120037095	111	2,8,1	8,19,5	2,8,22	8,21,16	200	100	0.118215700781	0.453965180713	0.111,0.174,0.091	0.111,0.16,0.407	-0.101
112	"ENSMUSG00000027575.19"	"Arfgap1"	chr2	+	180972694	180974156	180972694	180972795	180974059	180974156	112	19,27,13	0,0,1	27,18,69	0,0,0	200	100	1	1.0	1.0,1.0,0.867	1.0,1.0,1.0	-0.044
114	"ENSMUSG00000045679.14"	"Pqlc3"	chr12	-	16992277	16993573	16992277	16992319	16993452	16993573	114	7,6,1	2,13,6	3,2,17	7,6,9	200	100	0.73699679583	1.0	0.636,0.188,0.077	0.176,0.143,0.486	0.032
116	"ENSMUSG00000045679.14"	"Pqlc3"	chr12	-	16997633	16997856	16997633	16997703	16997773	16997856	116	0,6,1	2,18,12	2,1,10	6,16,15	169	100	0.288680556154	0.739439058966	0.0,0.165,0.047	0.165,0.036,0.283	-0.091
117	"ENSMUSG00000015363.13"	"Trabd"	chr15	+	89084902	89085446	89084902	89085042	89085273	89085446	117	5,25,9	137,525,127	20,27,32	297,368,387	200	100	0.0423423320886	0.277429621838	0.018,0.023,0.034	0.033,0.035,0.04	-0.011
118	"ENSMUSG00000015363.13"	"Trabd"	chr15	+	89085525	89087071	89085525	89085637	89085755	89087071	118	3,1,5	121,358,115	6,6,7	227,318,314	200	100	1	1.0	0.012,0.001,0.021	0.013,0.009,0.011	0.0
119	"ENSMUSG00000031812.16"	"Map1lc3b"	chr8	+	121593489	121596092	121593489	121593545	121595985	121596092	119	21,53,19	372,1036,349	38,48,49	688,916,728	200	100	0.56608668219	0.970642203138	0.027,0.025,0.026	0.027,0.026,0.033	-0.003
120	"ENSMUSG00000031812.16"	"Map1lc3b"	chr8	+	121593489	121596092	121593489	121593650	121595985	121596092	120	5,12,5	3,5,6	6,7,18	1,3,11	200	100	0.454121592129	0.894100761401	0.455,0.545,0.294	0.75,0.538,0.45	-0.148
121	"ENSMUSG00000030493.13"	"Faap24"	chr7	-	35394974	35395376	35394974	35395127	35395236	35395376	121	0,6,2	22,92,18	2,5,5	47,57,59	200	100	0.516102532075	0.929374700038	0.0,0.032,0.053	0.021,0.042,0.041	-0.006
122	"ENSMUSG00000020899.16"	"Pfas"	chr11	-	68992915	68993458	68992915	68993038	68993296	68993458	122	8,11,3	145,460,146	11,8,19	298,336,474	200	100	0.503431446537	0.920978537686	0.027,0.012,0.01	0.018,0.012,0.02	-0.0
123	"ENSMUSG00000059409.9"	"Ppp2r5d"	chr17	-	46682990	46684377	46682990	46684126	46684260	46684377	123	15,55,25	251,868,247	43,48,64	509,609,721	200	100	0.249241708029	0.68132876744	0.029,0.031,0.048	0.041,0.038,0.042	-0.004
124	"ENSMUSG00000031340.8"	"Gabre"	chrX	-	72264518	72264739	72264518	72264608	72264704	72264739	124	4,3,0	0,0,1	2,0,5	0,0,0	195	100	1	1.0	1.0,1.0,0.0	1.0,NA,1.0	-0.333
125	"ENSMUSG00000093674.7"	"Rpl41"	chr10	-	128548657	128548971	128548657	128548680	128548948	128548971	125	287,777,312	2169,6510,2224	491,620,757	3954,5366,5082	200	100	0.980997167189	1.0	0.062,0.056,0.066	0.058,0.055,0.069	0.001
129	"ENSMUSG00000029298.15"	"Gbp9"	chr5	-	105082703	105083853	105082703	105082910	105083572	105083853	129	0,4,2	2,5,1	4,0,1	4,8,4	200	100	0.415701082502	0.861095099468	0.0,0.286,0.5	0.333,0.0,0.111	0.114
130	"ENSMUSG00000004931.11"	"Apba3"	chr10	+	81271364	81271832	81271364	81271526	81271661	81271832	130	0,7,10	96,297,98	2,5,12	151,202,240	200	100	0.894963003858	1.0	0.0,0.012,0.049	0.007,0.012,0.024	0.006
132	"ENSMUSG00000029386.15"	"Tctn2"	chr5	+	124598748	124599242	124598748	124598956	124599134	124599242	132	2,22,4	19,40,9	11,13,17	20,44,51	200	100	0.887332447788	1.0	0.05,0.216,0.182	0.216,0.129,0.143	-0.013
134	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8724402	8724721	8724402	8724483	8724671	8724721	134	171,409,202	399,1170,433	275,362,715	679,922,1037	200	100	0.111136119592	0.441236855761	0.176,0.149,0.189	0.168,0.164,0.256	-0.025
135	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8725013	8725256	8725013	8725046	8725221	8725256	135	124,350,164	314,1009,365	241,305,504	586,736,808	200	100	0.0404820496103	0.270227733428	0.165,0.148,0.183	0.171,0.172,0.238	-0.028
136	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8724402	8725523	8724402	8724483	8725484	8725523	136	127,347,151	0,0,0	223,286,551	1,0,0	200	100	1	1.0	1.0,1.0,1.0	0.991,1.0,1.0	0.003
137	"ENSMUSG00000108414.1"	"Snhg1"	chr19	+	8725013	8725523	8725013	8725046	8725484	8725523	137	104,250,139	0,1,0	166,219,411	0,0,8	200	100	0.979961283005	1.0	1.0,0.992,1.0	1.0,1.0,0.963	0.01
