ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
17	"ENSG00000129219"	"PLD2"	chr17	+	4721296	4721680	4721296	4721401	4721591	4721680	17	1,0,0	38,38,35	0,0,0	6,4,2	202	101	1	1.0	0.013,0.0,0.0	0.0,0.0,0.0	0.004
18	"ENSG00000129219"	"PLD2"	chr17	+	4725934	4726729	4725934	4726015	4726553	4726729	18	5,3,5	0,0,1	0,1,0	2,1,0	202	101	1	1.0	1.0,1.0,0.714	0.0,0.333,NA	0.738
19	"ENSG00000137955"	"RABGGTB"	chr1	+	76255636	76255959	76255636	76255742	76255836	76255959	19	1,0,0	45,28,31	0,0,0	5,5,4	194	101	1	1.0	0.011,0.0,0.0	0.0,0.0,0.0	0.004
22	"ENSG00000092758"	"COL9A3"	chr20	+	61467538	61467884	61467538	61467685	61467829	61467884	22	0,1,0	9,11,5	0,0,0	4,3,2	202	101	1	1.0	0.0,0.043,0.0	0.0,0.0,0.0	0.014
26	"ENSG00000160050"	"CCDC28B"	chr1	+	32670198	32670988	32670198	32670221	32670794	32670988	26	0,1,4	57,51,45	5,7,4	25,28,22	202	101	4.38205681993e-05	0.000441434565966	0.0,0.01,0.043	0.091,0.111,0.083	-0.077
28	"ENSG00000103174"	"NAGPA"	chr16	-	5077135	5077380	5077135	5077199	5077278	5077380	28	3,0,4	52,67,77	0,1,1	17,12,21	179	101	1	1.0	0.032,0.0,0.028	0.0,0.045,0.026	-0.004
30	"ENSG00000184634"	"MED12"	chrX	+	70357575	70357793	70357575	70357630	70357705	70357793	30	63,34,56	9,7,5	21,15,18	0,0,0	175	101	7.52539168758e-07	1.02882854929e-05	0.802,0.737,0.866	1.0,1.0,1.0	-0.198
32	"ENSG00000123815"	"ADCK4"	chr19	-	41211000	41211352	41211000	41211086	41211229	41211352	32	0,1,0	51,47,55	0,0,0	5,7,1	202	101	1	1.0	0.0,0.011,0.0	0.0,0.0,0.0	0.004
33	"ENSG00000115875"	"SRSF7"	chr2	-	38975720	38976847	38975720	38975795	38976670	38976847	33	55,45,47	1428,1390,1411	46,29,31	1955,1992,1808	202	101	0.000120396382138	0.00111144055665	0.019,0.016,0.016	0.012,0.007,0.009	0.008
38	"ENSG00000162576"	"MXRA8"	chr1	-	1289572	1289889	1289572	1289612	1289733	1289889	38	110,132,102	415,478,442	55,37,60	65,87,79	202	101	2.84045023058e-08	4.65996149257e-07	0.117,0.121,0.103	0.297,0.175,0.275	-0.135
39	"ENSG00000141456"	"PELP1"	chr17	-	4574985	4576440	4574985	4575177	4575408	4576440	39	2,2,0	1,1,2	0,1,1	0,0,2	202	101	1	1.0	0.5,0.5,0.0	NA,1.0,0.2	-0.267
41	"ENSG00000141456"	"PELP1"	chr17	-	4578568	4579179	4578568	4578657	4579091	4579179	41	2,2,1	142,152,126	3,6,6	54,53,54	202	101	0.000416431717254	0.00346543611663	0.007,0.007,0.004	0.027,0.054,0.053	-0.039
42	"ENSG00000137563"	"GGH"	chr8	-	63936465	63936745	63936465	63936556	63936638	63936745	42	18,20,12	633,571,612	13,16,14	503,541,548	182	101	0.942407888335	1.0	0.016,0.019,0.011	0.014,0.016,0.014	0.001
47	"ENSG00000140416"	"TPM1"	chr15	+	63335904	63336351	63335904	63336030	63336225	63336351	47	11,6,6	5,3,4	2,9,2	1,2,3	202	101	0.989144510368	1.0	0.524,0.5,0.429	0.5,0.692,0.25	0.004
48	"ENSG00000140416"	"TPM1"	chr15	+	63353396	63354476	63353396	63353472	63354413	63354476	48	67,48,51	3800,3732,3794	47,47,34	2457,2766,2426	202	101	1	1.0	0.009,0.006,0.007	0.009,0.008,0.007	-0.001
50	"ENSG00000105643"	"ARRDC2"	chr19	+	18118976	18119586	18118976	18119393	18119519	18119586	50	0,0,1	2,0,3	1,1,0	3,8,5	202	101	1	1.0	0.0,NA,0.143	0.143,0.059,0.0	0.004
51	"ENSG00000120314"	"WDR55"	chr5	+	140047818	140048087	140047818	140047919	140047999	140048087	51	2,2,0	90,97,99	0,3,1	3,3,1	180	101	0.132918115667	0.50503173001	0.012,0.011,0.0	0.0,0.359,0.359	-0.232
52	"ENSG00000120314"	"WDR55"	chr5	+	140048475	140048833	140048475	140048575	140048663	140048833	52	0,0,0	60,57,62	0,0,1	11,8,16	188	101	1	1.0	0.0,0.0,0.0	0.0,0.0,0.032	-0.011
55	"ENSG00000183426"	"NPIPA1"	chr16	+	15029016	15029254	15029016	15029133	15029201	15029254	55	40,53,35	5,5,6	3,0,4	0,0,0	168	101	1	1.0	0.828,0.864,0.778	1.0,NA,1.0	-0.177
57	"ENSG00000103507"	"BCKDK"	chr16	+	31120993	31121445	31120993	31121104	31121397	31121445	57	2,2,1	174,177,129	5,7,5	74,69,55	202	101	0.00022943416756	0.00201438989316	0.006,0.006,0.004	0.033,0.048,0.043	-0.036
58	"ENSG00000103507"	"BCKDK"	chr16	+	31120993	31121445	31120993	31121104	31121424	31121445	58	33,34,35	0,1,0	14,22,23	0,0,0	202	101	1	1.0	1.0,0.944,1.0	1.0,1.0,1.0	-0.019
62	"ENSG00000204469"	"PRRC2A"	chr6	+	31603358	31603826	31603358	31603526	31603743	31603826	62	2,1,1	249,251,234	1,3,2	115,96,101	202	101	1	1.0	0.004,0.002,0.002	0.004,0.015,0.01	-0.007
63	"ENSG00000204469"	"PRRC2A"	chr6	+	31604509	31604913	31604509	31604722	31604818	31604913	63	9,7,8	307,303,235	2,1,0	70,66,105	196	101	0.359325112894	1.0	0.015,0.012,0.017	0.015,0.008,0.0	0.007
64	"ENSG00000204469"	"PRRC2A"	chr6	+	31605010	31605548	31605010	31605101	31605222	31605548	64	0,3,0	315,407,304	1,0,0	182,152,168	202	101	1	1.0	0.0,0.004,0.0	0.003,0.0,0.0	0.0
65	"ENSG00000106397"	"PLOD3"	chr7	-	100855126	100855655	100855126	100855231	100855533	100855655	65	0,0,0	508,483,458	0,1,1	484,505,494	202	101	1	1.0	0.0,0.0,0.0	0.0,0.001,0.001	-0.001
66	"ENSG00000106397"	"PLOD3"	chr7	-	100856122	100856485	100856122	100856224	100856387	100856485	66	0,0,0	547,508,517	0,1,1	573,591,571	202	101	1	1.0	0.0,0.0,0.0	0.0,0.001,0.001	-0.001
67	"ENSG00000117122"	"MFAP2"	chr1	-	17303202	17303418	17303202	17303289	17303391	17303418	67	7,7,9	137,111,102	0,7,5	101,123,102	202	101	0.0745784453005	0.319574203668	0.025,0.031,0.042	0.0,0.028,0.024	0.015
68	"ENSG00000117122"	"MFAP2"	chr1	-	17303202	17304809	17303202	17303289	17304731	17304809	68	5,2,5	0,0,0	1,7,3	0,0,1	202	101	1	1.0	1.0,1.0,1.0	1.0,1.0,0.6	0.133
69	"ENSG00000117122"	"MFAP2"	chr1	-	17303202	17304809	17303202	17303418	17304731	17304809	69	3,0,1	2,0,1	1,7,2	1,1,4	202	101	1	1.0	0.429,NA,0.333	0.333,0.778,0.2	-0.056
70	"ENSG00000167302"	"ENTHD2"	chr17	-	79210779	79211259	79210779	79210871	79211186	79211259	70	0,0,0	34,24,21	0,1,2	6,5,7	202	101	0.549952782566	1.0	0.0,0.0,0.0	0.0,0.091,0.125	-0.072
72	"ENSG00000160058"	"BSDC1"	chr1	-	32859680	32860026	32859680	32859741	32860004	32860026	72	0,4,3	40,36,27	5,6,2	7,17,20	202	101	0.00372673051704	0.0245400076019	0.0,0.053,0.053	0.263,0.15,0.048	-0.118
73	"ENSG00000138442"	"WDR12"	chr2	-	203748920	203749258	203748920	203749026	203749117	203749258	73	2,0,0	267,241,286	0,0,0	98,78,113	191	101	1	1.0	0.004,0.0,0.0	0.0,0.0,0.0	0.001
78	"ENSG00000149499"	"EML3"	chr11	-	62370230	62370719	62370230	62370251	62370620	62370719	78	46,54,36	5,8,8	19,14,14	3,0,0	202	101	0.00417228368733	0.0269788884377	0.821,0.771,0.692	0.76,1.0,1.0	-0.159
79	"ENSG00000149499"	"EML3"	chr11	-	62370230	62370719	62370230	62370361	62370620	62370719	79	2,3,0	39,57,29	0,0,0	13,12,26	202	101	0.561174681272	1.0	0.025,0.026,0.0	0.0,0.0,0.0	0.017
80	"ENSG00000149499"	"EML3"	chr11	-	62371415	62371673	62371415	62371513	62371584	62371673	80	2,3,0	85,87,69	0,0,0	18,34,26	171	101	1	1.0	0.014,0.02,0.0	0.0,0.0,0.0	0.011
81	"ENSG00000157978"	"LDLRAP1"	chr1	+	25890151	25891698	25890151	25890282	25891663	25891698	81	0,0,1	56,55,38	0,0,0	0,2,0	202	101	1	1.0	0.0,0.0,0.013	NA,0.0,NA	0.004
82	"ENSG00000123349"	"PFDN5"	chr12	+	53689622	53690059	53689622	53689725	53690027	53690059	82	78,73,81	1742,1810,1890	63,69,67	1918,2009,1837	202	101	0.106008412182	0.419215084538	0.022,0.02,0.021	0.016,0.017,0.018	0.004
83	"ENSG00000123349"	"PFDN5"	chr12	+	53689622	53690251	53689622	53689725	53690213	53690251	83	1,1,4	4,9,4	2,4,6	5,4,1	202	101	0.0584251868756	0.258457182619	0.111,0.053,0.333	0.167,0.333,0.75	-0.251
84	"ENSG00000123349"	"PFDN5"	chr12	+	53690213	53691708	53690213	53690251	53691633	53691708	84	14,19,20	2,10,5	18,21,12	6,6,5	202	101	0.780321192214	1.0	0.778,0.487,0.667	0.6,0.636,0.545	0.05
85	"ENSG00000123349"	"PFDN5"	chr12	+	53690213	53691708	53690213	53690335	53691633	53691708	85	5,7,14	10,15,12	13,12,11	9,10,7	202	101	0.0623299270314	0.273622661326	0.2,0.189,0.368	0.419,0.375,0.44	-0.159
87	"ENSG00000178719"	"GRINA"	chr8	+	145065859	145066541	145065859	145065972	145066045	145066541	87	0,1,0	797,794,716	0,1,1	297,268,302	173	101	1	1.0	0.0,0.001,0.0	0.0,0.002,0.002	-0.001
88	"ENSG00000178719"	"GRINA"	chr8	+	145065859	145066541	145065859	145065972	145066412	145066541	88	0,1,0	3,3,0	0,2,1	68,77,60	202	101	1	1.0	0.0,0.143,NA	0.0,0.013,0.008	0.065
89	"ENSG00000178719"	"GRINA"	chr8	+	145066045	145066541	145066045	145066117	145066412	145066541	89	231,259,213	1,3,0	84,78,101	0,1,2	202	101	1	1.0	0.991,0.977,1.0	1.0,0.975,0.962	0.01
90	"ENSG00000178719"	"GRINA"	chr8	+	145066045	145066541	145066045	145066246	145066412	145066541	90	0,1,0	538,653,579	0,1,1	174,158,153	202	101	1	1.0	0.0,0.001,0.0	0.0,0.003,0.003	-0.002
92	"ENSG00000092439"	"TRPM7"	chr15	-	50867920	50868116	50867920	50867986	50868065	50868116	92	3,5,4	66,76,79	4,2,7	41,38,54	179	101	0.205913571292	0.696322571472	0.025,0.036,0.028	0.052,0.029,0.068	-0.02
103	"ENSG00000090316"	"MAEA"	chr4	+	1330648	1332405	1330648	1330782	1332209	1332405	103	1,0,1	248,256,237	0,1,0	91,107,107	202	101	1	1.0	0.002,0.0,0.002	0.0,0.005,0.0	-0.0
104	"ENSG00000090316"	"MAEA"	chr4	+	1330648	1332405	1330648	1330782	1332213	1332405	104	1,0,1	1,1,1	0,1,0	5,4,4	202	101	1	1.0	0.333,0.0,0.333	0.0,0.111,0.0	0.185
105	"ENSG00000090316"	"MAEA"	chr4	+	1332209	1333924	1332209	1332405	1332861	1333924	105	0,0,0	332,270,289	0,1,0	176,171,179	202	101	1	1.0	0.0,0.0,0.0	0.0,0.003,0.0	-0.001
106	"ENSG00000182944"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29687550	29687588	106	29,54,40	174,169,153	10,11,15	66,50,39	202	101	0.639782202364	1.0	0.077,0.138,0.116	0.07,0.099,0.161	0.0
107	"ENSG00000182944"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684775	29687553	29687588	107	60,102,74	214,205,182	26,18,31	54,58,50	202	101	0.454736754895	1.0	0.123,0.199,0.169	0.194,0.134,0.237	-0.025
108	"ENSG00000182944"	"EWSR1"	chr22	+	29694722	29695270	29694722	29694885	29695184	29695270	108	1,0,0	13,7,5	2,1,0	11,15,10	202	101	0.771255790399	1.0	0.037,0.0,0.0	0.083,0.032,0.0	-0.026
109	"ENSG00000182944"	"EWSR1"	chr22	+	29694722	29695841	29694722	29694885	29695588	29695841	109	1,0,0	0,0,0	2,0,0	19,12,9	202	101	1	1.0	1.0,NA,NA	0.05,0.0,0.0	0.983
110	"ENSG00000182944"	"EWSR1"	chr22	+	29694722	29695841	29694722	29695270	29695588	29695841	110	303,289,269	10,7,3	114,113,92	8,5,9	202	101	0.001544239673	0.01130997985	0.938,0.954,0.978	0.877,0.919,0.836	0.079
111	"ENSG00000143442"	"POGZ"	chr1	-	151379082	151379499	151379082	151379107	151379386	151379499	111	0,3,3	125,88,104	3,3,2	111,130,90	202	101	1	1.0	0.0,0.017,0.014	0.013,0.011,0.011	-0.001
112	"ENSG00000168824"	"NSG1"	chr4	+	4387583	4388900	4387583	4388370	4388845	4388900	112	10,4,4	0,0,1	4,0,2	3,1,1	202	101	2.74095279369e-05	0.000284089367173	1.0,1.0,0.667	0.4,0.0,0.5	0.589
114	"ENSG00000182208"	"MOB2"	chr11	-	1501622	1502115	1501622	1501716	1501954	1502115	114	0,1,1	54,78,75	0,0,0	24,23,42	202	101	1	1.0	0.0,0.006,0.007	0.0,0.0,0.0	0.004
115	"ENSG00000172375"	"C2CD2L"	chr11	+	118982230	118983102	118982230	118982339	118983037	118983102	115	2,1,3	11,19,28	0,0,0	30,19,18	202	101	0.129705805054	0.494535679031	0.083,0.026,0.051	0.0,0.0,0.0	0.053
118	"ENSG00000177595"	"PIDD"	chr11	-	799184	800244	799184	799565	799814	800244	118	0,1,0	68,47,32	0,0,0	11,26,20	202	101	1	1.0	0.0,0.011,0.0	0.0,0.0,0.0	0.004
119	"ENSG00000177595"	"PIDD"	chr11	-	799814	800244	799814	800014	800130	800244	119	0,1,0	53,54,40	0,0,0	5,19,8	202	101	1	1.0	0.0,0.009,0.0	0.0,0.0,0.0	0.003
120	"ENSG00000177595"	"PIDD"	chr11	-	800761	801120	800761	800912	800984	801120	120	0,1,0	41,44,27	0,0,0	6,6,12	172	101	1	1.0	0.0,0.013,0.0	0.0,0.0,0.0	0.004
121	"ENSG00000177595"	"PIDD"	chr11	-	800761	801120	800761	800912	801001	801120	121	0,1,0	4,4,9	0,0,0	2,4,3	189	101	1	1.0	0.0,0.118,0.0	0.0,0.0,0.0	0.039
122	"ENSG00000177595"	"PIDD"	chr11	-	800761	801120	800761	800912	801017	801120	122	0,1,0	2,1,1	0,0,0	2,1,0	202	101	1	1.0	0.0,0.333,0.0	0.0,0.0,NA	0.111
123	"ENSG00000177595"	"PIDD"	chr11	-	801444	802090	801444	801624	801964	802090	123	0,1,0	39,45,54	0,0,0	12,19,13	202	101	1	1.0	0.0,0.011,0.0	0.0,0.0,0.0	0.004
124	"ENSG00000177595"	"PIDD"	chr11	-	802681	803647	802681	802891	803173	803647	124	0,1,0	18,21,17	0,0,0	5,4,9	202	101	1	1.0	0.0,0.023,0.0	0.0,0.0,0.0	0.008
127	"ENSG00000197971"	"MBP"	chr18	-	74728787	74729021	74728787	74728802	74728869	74729021	127	0,3,0	1,0,0	0,0,1	0,0,0	167	101	1	1.0	0.0,1.0,NA	NA,NA,1.0	-0.5
129	"ENSG00000160613"	"PCSK7"	chr11	-	117093923	117094932	117093923	117094024	117094793	117094932	129	2,1,0	47,44,49	0,0,0	53,35,32	202	101	1	1.0	0.021,0.011,0.0	0.0,0.0,0.0	0.011
134	"ENSG00000099840"	"IZUMO4"	chr19	+	2097927	2098126	2097927	2097954	2098050	2098126	134	0,1,2	2,2,0	0,0,0	1,0,0	196	101	1	1.0	0.0,0.205,1.0	0.0,NA,NA	0.402
136	"ENSG00000099840"	"IZUMO4"	chr19	+	2097927	2098333	2097927	2098126	2098285	2098333	136	2,3,0	0,0,0	0,0,0	1,0,0	202	101	1	1.0	1.0,1.0,NA	0.0,NA,NA	1.0
138	"ENSG00000137409"	"MTCH1"	chr6	-	36938181	36938470	36938181	36938249	36938422	36938470	138	19,12,18	671,674,670	31,34,32	436,465,396	202	101	3.61232466162e-09	6.60572235892e-08	0.014,0.009,0.013	0.034,0.035,0.039	-0.024
139	"ENSG00000162772"	"ATF3"	chr1	+	212788363	212788603	212788363	212788402	212788489	212788603	139	20,16,23	0,0,0	25,17,18	0,1,0	187	101	1	1.0	1.0,1.0,1.0	1.0,0.902,1.0	0.033
141	"ENSG00000162772"	"ATF3"	chr1	+	212788363	212788603	212788363	212788402	212788493	212788603	141	20,16,23	0,0,0	25,17,18	2,0,0	191	101	1	1.0	1.0,1.0,1.0	0.869,1.0,1.0	0.044
148	"ENSG00000092094"	"OSGEP"	chr14	-	20915773	20916330	20915773	20915849	20916264	20916330	148	15,4,6	1,1,2	4,5,7	4,5,5	202	101	0.0015735422747	0.0114660910423	0.882,0.667,0.6	0.333,0.333,0.412	0.357
149	"ENSG00000224078"	"SNHG14"	chr15	+	25349005	25351441	25349005	25349117	25351310	25351441	149	0,0,0	176,195,173	1,0,0	148,165,154	202	101	1	1.0	0.0,0.0,0.0	0.003,0.0,0.0	-0.001
151	"ENSG00000113240"	"CLK4"	chr5	-	178043882	178045779	178043882	178043949	178044344	178045779	151	2,2,4	8,12,16	1,3,1	16,14,28	202	101	0.0935608226119	0.382639774528	0.111,0.077,0.111	0.03,0.097,0.018	0.051
152	"ENSG00000113240"	"CLK4"	chr5	-	178043882	178045779	178043882	178043949	178045556	178045779	152	2,2,4	20,25,13	1,3,1	42,41,30	202	101	0.0582058091949	0.257884071294	0.048,0.038,0.133	0.012,0.035,0.016	0.052
154	"ENSG00000032444"	"PNPLA6"	chr19	+	7607646	7607970	7607646	7607814	7607892	7607970	154	1,1,4	58,66,58	1,1,3	10,14,19	178	101	0.30260782564	0.935670752084	0.01,0.009,0.038	0.054,0.039,0.082	-0.039
155	"ENSG00000183530"	"PRR14L"	chr22	-	32077335	32081789	32077335	32078120	32079614	32081789	155	2,1,1	0,0,0	0,0,0	0,1,0	202	101	1	1.0	1.0,1.0,1.0	NA,0.0,NA	1.0
156	"ENSG00000265681"	"RPL17"	chr18	-	47017901	47018203	47017901	47017954	47018105	47018203	156	759,701,760	36,53,46	1036,1044,890	17,43,28	202	101	6.04210222166e-06	7.05157539772e-05	0.913,0.869,0.892	0.968,0.924,0.941	-0.053
157	"ENSG00000196975"	"ANXA4"	chr2	+	70035037	70037805	70035037	70035128	70037725	70037805	157	0,1,1	187,212,174	1,0,0	128,146,98	202	101	1	1.0	0.0,0.002,0.003	0.004,0.0,0.0	0.0
158	"ENSG00000106330"	"MOSPD3"	chr7	+	100210352	100210892	100210352	100210619	100210816	100210892	158	2,1,5	141,167,140	1,2,3	109,96,80	202	101	1	1.0	0.007,0.003,0.018	0.005,0.01,0.018	-0.002
159	"ENSG00000137818"	"RPLP1"	chr15	+	69745985	69747626	69745985	69746060	69747508	69747626	159	35,34,18	14089,15005,14304	34,37,30	16653,17439,15749	202	101	1	1.0	0.001,0.001,0.001	0.001,0.001,0.001	0.0
162	"ENSG00000102030"	"NAA10"	chrX	-	153197523	153197884	153197523	153197568	153197768	153197884	162	26,49,40	690,683,659	10,8,10	349,347,325	202	101	0.000369003062539	0.00313434258151	0.018,0.035,0.029	0.014,0.011,0.015	0.014
163	"ENSG00000143416"	"SELENBP1"	chr1	-	151337664	151338160	151337664	151337757	151338038	151338160	163	5,8,8	124,145,120	2,2,0	48,49,34	202	101	0.0497240055711	0.228047316285	0.02,0.027,0.032	0.02,0.02,0.0	0.013
165	"ENSG00000143416"	"SELENBP1"	chr1	-	151338243	151338929	151338243	151338322	151338750	151338929	165	2,4,2	96,112,68	1,3,3	42,30,38	202	101	0.324912315402	0.97985636294	0.01,0.018,0.014	0.012,0.048,0.038	-0.019
167	"ENSG00000143416"	"SELENBP1"	chr1	-	151341479	151342245	151341479	151341665	151342188	151342245	167	10,8,8	0,0,1	4,2,4	0,0,0	202	101	1	1.0	1.0,1.0,0.8	1.0,1.0,1.0	-0.067
168	"ENSG00000143416"	"SELENBP1"	chr1	-	151341479	151342245	151341479	151342030	151342188	151342245	168	10,8,8	94,71,50	4,2,4	31,34,23	202	101	0.564869938532	1.0	0.051,0.053,0.074	0.061,0.029,0.08	0.003
169	"ENSG00000175197"	"DDIT3"	chr12	-	57911051	57911536	57911051	57911207	57911488	57911536	169	38,29,30	51,54,40	1119,1111,913	56,73,69	202	101	0	0.0	0.271,0.212,0.273	0.909,0.884,0.869	-0.635
170	"ENSG00000175197"	"DDIT3"	chr12	-	57911051	57911536	57911051	57911221	57911488	57911536	170	36,29,30	230,210,206	1122,1111,913	90,96,126	202	101	0	0.0	0.073,0.065,0.068	0.862,0.853,0.784	-0.764
171	"ENSG00000175197"	"DDIT3"	chr12	-	57911051	57911536	57911051	57911325	57911488	57911536	171	38,29,30	0,0,0	1123,1111,913	4,0,3	202	101	1	1.0	1.0,1.0,1.0	0.993,1.0,0.993	0.005
172	"ENSG00000175197"	"DDIT3"	chr12	-	57911051	57911536	57911051	57911378	57911488	57911536	172	38,29,30	13,15,10	1123,1111,913	3,4,8	202	101	0	0.0	0.594,0.492,0.6	0.995,0.993,0.983	-0.428
174	"ENSG00000177042"	"TMEM80"	chr11	+	698868	700235	698868	698888	700141	700235	174	3,2,1	39,31,39	0,0,0	12,13,5	202	101	0.727434188947	1.0	0.037,0.031,0.013	0.0,0.0,0.0	0.027
175	"ENSG00000100353"	"EIF3D"	chr22	-	36921710	36922178	36921710	36921756	36922045	36922178	175	7,15,10	616,649,584	15,9,6	386,435,377	202	101	0.681507137286	1.0	0.006,0.011,0.008	0.019,0.01,0.008	-0.004
176	"ENSG00000125447"	"GGA3"	chr17	-	73235869	73237138	73235869	73236189	73236422	73237138	176	1,0,1	47,57,42	2,3,1	29,24,29	202	101	0.500160427305	1.0	0.011,0.0,0.012	0.033,0.059,0.017	-0.029
177	"ENSG00000125447"	"GGA3"	chr17	-	73236422	73237138	73236422	73236493	73236892	73237138	177	3,0,1	44,65,43	2,0,1	35,37,49	202	101	1	1.0	0.033,0.0,0.011	0.028,0.0,0.01	0.002
178	"ENSG00000125447"	"GGA3"	chr17	-	73237480	73237777	73237480	73237597	73237695	73237777	178	2,1,3	80,91,73	4,1,1	18,18,14	198	101	0.114081098352	0.443202751514	0.013,0.006,0.021	0.102,0.028,0.035	-0.042
179	"ENSG00000125447"	"GGA3"	chr17	-	73237695	73238554	73237695	73237777	73238416	73238554	179	2,1,1	91,90,96	1,4,1	17,16,20	202	101	0.157717981452	0.57390155228	0.011,0.006,0.005	0.029,0.111,0.024	-0.047
180	"ENSG00000139641"	"ESYT1"	chr12	+	56524823	56525100	56524823	56524897	56525027	56525100	180	5,1,0	278,283,260	2,3,2	81,71,77	202	101	0.670700683239	1.0	0.009,0.002,0.0	0.012,0.021,0.013	-0.012
181	"ENSG00000177380"	"PPFIA3"	chr19	+	49653336	49654278	49653336	49653408	49653492	49654278	181	3,6,3	143,118,113	3,2,2	12,6,11	184	101	0.0154658542647	0.0850621984559	0.011,0.027,0.014	0.121,0.155,0.091	-0.105
183	"ENSG00000110321"	"EIF4G2"	chr11	-	10821098	10821895	10821098	10821303	10821636	10821895	183	2,4,3	3457,3466,3392	1,5,2	2916,3096,3022	202	101	1	1.0	0.0,0.001,0.0	0.0,0.001,0.0	0.0
184	"ENSG00000110321"	"EIF4G2"	chr11	-	10823207	10823756	10823207	10823321	10823595	10823756	184	2,1,2	2880,2558,2750	0,2,1	2694,2676,2575	202	101	1	1.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0
185	"ENSG00000110321"	"EIF4G2"	chr11	-	10825026	10825597	10825026	10825137	10825445	10825597	185	1,0,2	2641,2429,2549	0,1,0	2306,2371,2384	202	101	1	1.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0
186	"ENSG00000110321"	"EIF4G2"	chr11	-	10825833	10826562	10825833	10825965	10826459	10826562	186	1,0,2	2914,2544,2721	0,0,1	2476,2688,2538	202	101	1	1.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0
188	"ENSG00000147274"	"RBMX"	chrX	-	135954426	135957327	135954426	135954504	135957244	135957327	188	18,19,24	42,45,45	26,29,19	4,3,5	202	101	2.10942374679e-15	7.47673528029e-14	0.176,0.174,0.211	0.765,0.829,0.655	-0.563
192	"ENSG00000090905"	"TNRC6A"	chr16	+	24816334	24817054	24816334	24816472	24816994	24817054	192	50,48,36	9,8,9	67,73,78	2,0,0	202	101	2.80285794574e-11	6.38651203351e-10	0.735,0.75,0.667	0.944,1.0,1.0	-0.264
202	"ENSG00000115257"	"PCSK4"	chr19	-	1483648	1483940	1483648	1483766	1483836	1483940	202	0,1,0	2,12,6	0,0,0	0,1,0	170	101	1	1.0	0.0,0.047,0.0	NA,0.0,NA	0.016
